119,11,-25,-18,8,-7,-13,-13,-17,-14
114,11,-24,-17,8,0,-17,-13,-13,-8
108,-2,-31,-21,10,-4,-11,-7,-8,-4
109,-9,-33,-22,12,-8,-9,-7,-8,-2
105,-13,-31,-17,11,-12,-7,-4,-6,6
98,-5,-25,-15,9,-19,-11,-5,-5,10
101,3,-29,-24,10,-12,-8,3,-5,5
103,3,-31,-22,12,-9,-11,2,-5,4
98,4,-34,-25,10,-6,-12,-4,-2,3
103,14,-32,-29,6,0,-9,-7,-7,3
115,20,-32,-33,0,-3,-8,-13,-12,5
113,22,-32,-39,-2,-2,-8,-12,-15,1
108,17,-30,-36,0,-3,-5,-9,-17,-2
125,16,-29,-28,9,-6,-9,-12,-16,0
127,17,-29,-26,8,-7,-13,-12,-14,4
127,19,-26,-27,3,-7,-15,-9,-11,5
115,23,-25,-31,-1,-6,-8,-3,-9,2
95,18,-25,-32,-2,1,1,-1,-9,-1
89,18,-20,-31,2,3,3,3,-3,2
91,20,-20,-26,11,10,3,1,-7,0
113,24,-24,-20,9,-6,-16,-8,-9,2
115,19,-24,-18,12,-9,-11,-4,-12,7
113,14,-23,-22,10,-8,-12,0,-16,10
108,7,-20,-26,3,-14,-9,-4,-22,14
104,6,-22,-19,1,-12,-8,-12,-26,15
96,7,-11,-15,6,-5,-10,-12,-23,10
109,11,-5,-17,5,-7,-8,-7,-18,9
120,12,-10,-12,0,-2,-9,-7,-18,4
112,18,-7,-16,-1,-5,-4,-8,-17,-1
98,33,-3,-18,-2,-9,-12,-15,-7,5
